kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,32,4,16,16,,,0.0007512560000009216,0.0005245208740234375
2,32,4,32,32,,,0.0007462720000148693,0.00022518634796142578
2,32,4,64,64,,,0.0009428799999682269,7.045269012451172e-05
2,32,4,128,128,,,0.0020208529999763414,1.3172626495361328e-05
2,32,8,4,4,,,0.000724320000017542,0.019775390625
2,32,8,8,8,,,0.001036347000024307,0.004161834716796875
2,32,8,16,16,,,0.0007602439999914168,0.0013408660888671875
2,32,8,32,32,,,0.0007916499999964799,0.0003046989440917969
2,32,8,64,64,,,0.0013487470000086432,8.52346420288086e-05
2,32,8,128,128,,,0.0037587030000167942,2.6166439056396484e-05
2,32,16,4,4,,,0.0007296499999824846,0.0289154052734375
2,32,16,8,8,,,0.0007673800000134179,0.0094757080078125
2,32,16,16,16,,,0.0007551510000212147,0.001953125
2,32,16,32,32,,,0.0009806859999912376,0.0006260871887207031
2,32,16,64,64,,,0.002145104000021547,0.00011539459228515625
2,32,16,128,128,,,0.007183230000009644,2.5391578674316406e-05
2,32,32,4,4,,,0.0007816090000005715,0.02850341796875
2,32,32,8,8,,,0.0007562829999869791,0.009552001953125
2,32,32,16,16,,,0.0007620119999955932,0.0016546249389648438
2,32,32,32,32,,,0.0013711229999557872,0.0005059242248535156
2,32,32,64,64,,,0.0039739320000080625,0.0001462697982788086
2,32,32,128,128,,,0.01430837899999915,3.319978713989258e-05
2,32,64,4,4,,,0.0007724300000404583,0.050628662109375
2,32,64,8,8,,,0.0007700609999687913,0.01363372802734375
2,32,64,16,16,,,0.0009462479999911011,0.002040863037109375
2,32,64,32,32,,,0.002101181999989876,0.0006284713745117188
2,32,64,64,64,,,0.007203722999975071,0.0001608133316040039
2,32,64,128,128,,,0.02821533499997031,3.552436828613281e-05
2,32,128,4,4,,,0.0008536779999985811,0.04522705078125
2,32,128,8,8,,,0.0007839849999982107,0.01140594482421875
2,32,128,16,16,,,0.0013610569999968902,0.0027751922607421875
2,32,128,32,32,,,0.003913496999985,0.0005393028259277344
2,32,128,64,64,,,0.013851451999983055,0.0001723766326904297
2,32,128,128,128,,,0.055821858999991036,4.1961669921875e-05
2,64,4,4,4,,,0.000990489000002981,0.008514404296875
2,64,4,8,8,,,0.0009225740000147198,0.0013341903686523438
2,64,4,16,16,,,0.0009723420000113947,0.0004787445068359375
2,64,4,32,32,,,0.0011882379999974546,8.70823860168457e-05
2,64,4,64,64,,,0.0017119160000333977,2.944469451904297e-05
2,64,4,128,128,,,0.0036884669999608377,1.1444091796875e-05
2,64,8,4,4,,,0.0009155000000191649,0.0117340087890625
2,64,8,8,8,,,0.0009100180000132241,0.0033512115478515625
2,64,8,16,16,,,0.001024749000009706,0.0007619857788085938
2,64,8,32,32,,,0.0013975880000316465,0.0002512931823730469
2,64,8,64,64,,,0.002522014999954081,4.5239925384521484e-05
2,64,8,128,128,,,0.007281576000025325,8.881092071533203e-06
2,64,16,4,4,,,0.0009174439999810602,0.01453399658203125
2,64,16,8,8,,,0.0010783330000094793,0.0028362274169921875
2,64,16,16,16,,,0.0016428429999564287,0.0009455680847167969
2,64,16,32,32,,,0.00182308500001227,0.00019538402557373047
2,64,16,64,64,,,0.004062516000033156,5.251169204711914e-05
2,64,16,128,128,,,0.014070184999980029,1.239776611328125e-05
2,64,32,4,4,,,0.0008920180000018263,0.0143280029296875
2,64,32,8,8,,,0.0011203319999708583,0.004154205322265625
2,64,32,16,16,,,0.0013390109999704691,0.0008602142333984375
2,64,32,32,32,,,0.002562486999977409,0.0002288818359375
2,64,32,64,64,,,0.007777443000009043,5.9545040130615234e-05
2,64,32,128,128,,,0.028408721000005244,1.4901161193847656e-05
2,64,64,4,4,,,0.0009976350000329148,0.0172882080078125
2,64,64,8,8,,,0.001190267000026779,0.004467010498046875
2,64,64,16,16,,,0.0017357090000018616,0.0013704299926757812
2,64,64,32,32,,,0.004023130000007313,0.0003247261047363281
2,64,64,64,64,,,0.014200549000008778,6.943941116333008e-05
2,64,64,128,128,,,0.05650011000000177,1.7702579498291016e-05
2,64,128,4,4,,,0.0010376490000112426,0.0216064453125
