kernel_radius, b  , c  , h  , w  , luca_fn_sec       , luca_fn_value         , max_fn_sec         , max_fn_value
            2,   4,  32,   4,   4, 0.0007276680000245, 0.0160980224609375    ,  3.2638541349988373, 0.039306640625
            2,   4,  32,   8,   8, 0.0007543110000369, 0.0039901733398437    ,  3.49549205600124  , 0.0055656433105468
            2,   4,  32,  16,  16, 0.0007051749999504, 0.0009684562683105    ,  3.6716299289983   , 0.0011472702026367
            2,   4,  32,  32,  32, 0.0007738479999943, 0.0002436637878417    ,  3.782677712002624 , 0.0002663135528564
            2,   4,  32,  64,  64, 0.0008140580000031, 6.115436553955078e-05 ,  3.830868388999079 , 6.401538848876953e-05
            2,   4,  32, 128, 128, 0.0022416679999537, 1.5437602996826172e-05,  3.669881260000693 , 1.5616416931152344e-05
            2,   4,  64,   4,   4, 0.0006897789999698, 0.0159454345703125    , 14.117463013997622 , 0.0394287109375
            2,   4,  64,   8,   8, 0.0006925519999754, 0.0039176940917968    , 12.351836598998489 , 0.0056114196777343
            2,   4,  64,  16,  16, 0.0007032589999766, 0.0009760856628417    , 13.906780723998963 , 0.0011548995971679
            2,   4,  64,  32,  32, 0.0007051390000469, 0.0002460479736328    , 12.880922772001211 , 0.0002655982971191
            2,   4,  64,  64,  64, 0.0012566359999937, 6.151199340820312e-05 , 12.696099616001447 , 6.35981559753418e-05
            2,   4,  64, 128, 128, 0.0041159140000104, 1.52587890625e-05     , 13.55166365200057  , 1.5676021575927734e-05
            2,   4, 128,   4,   4, 0.000908025000001 , 0.0159759521484375    , 51.049668415998894 , 0.039306640625
            2,   4, 128,   8,   8, 0.0007273379999901, 0.0039291381835937    , 51.08100155699867  , 0.0056304931640625
            2,   4, 128,  16,  16, 0.0007306340000354, 0.0009784698486328    , 47.347344633999455 , 0.0011548995971679
            2,   4, 128,  32,  32, 0.0008833090000166, 0.000244140625        , 50.9057168870022   , 0.0002639293670654
            2,   4, 128,  64,  64, 0.0021710149999876, 6.097555160522461e-05 , 55.786865643000056 , 6.318092346191406e-05
            2,   4, 128, 128, 128, 0.0077496349999819, 1.52587890625e-05     , 54.49360230000093  , 1.5556812286376953e-05
            2,   8,   4,   4,   4, 0.000712438999983 , 0.0085372924804687    ,  0.0649086420016828, 0.01971435546875
            2,   8,   4,   8,   8, 0.0007038899999542, 0.0019702911376953    ,  0.062908186999266 , 0.0031909942626953
            2,   8,   4,  16,  16, 0.0006951689999823, 0.0004525184631347    ,  0.061326064998866 , 0.0007123947143554
            2,   8,   4,  32,  32, 0.0007017679999989, 0.0001090764999389    ,  0.0824247329983336, 0.0001399517059326
            2,   8,   4,  64,  64, 0.0007305440000209, 2.8371810913085938e-05,  0.0749426699985633, 3.2007694244384766e-05
            2,   8,   4, 128, 128, 0.0008298679999825, 7.390975952148437e-06 ,  0.0829133070001262, 9.775161743164062e-06
            2,   8,   8,   4,   4, 0.0007200350000289, 0.0080642700195312    ,  0.2596010170018417, 0.0204620361328125
            2,   8,   8,   8,   8, 0.0009080649999759, 0.0019083023071289    ,  0.2418612980000034, 0.0031757354736328
            2,   8,   8,  16,  16, 0.0007487899999887, 0.0004796981811523    ,  0.2777164150029421, 0.0005922317504882
            2,   8,   8,  32,  32, 0.0007697319999806, 0.0001250505447387    ,  0.2463647170006879, 0.0001199841499328
            2,   8,   8,  64,  64, 0.0007181519999903, 3.3020973205566406e-05,  0.2577002540019748, 2.9087066650390625e-05
            2,   8,   8, 128, 128, 0.0012928740000006, 7.927417755126953e-06 ,  0.2564268900023307, 7.68899917602539e-06
            2,   8,  16,   4,   4, 0.0006903269999725, 0.0078048706054687    ,  0.9227839199993468, 0.01904296875
            2,   8,  16,   8,   8, 0.0007425839999655, 0.001932144165039     ,  0.936006936000922 , 0.0028305053710937
            2,   8,  16,  16,  16, 0.0007034370000269, 0.000490665435791     ,  0.9577670159997068, 0.0005989074707031
            2,   8,  16,  32,  32, 0.0007297149999772, 0.0001217722892761    ,  0.8972730829991633, 0.0001288652420043
            2,   8,  16,  64,  64, 0.0008395869999731, 3.1948089599609375e-05,  1.0190533640015929, 3.1113624572753906e-05
            2,   8,  16, 128, 128, 0.0022301660000039, 7.62939453125e-06     ,  0.9985238820008816, 8.225440979003906e-06
